airline,avail_seat_km_per_week,year_range,type_of_event,n_events
Japan Airlines,1574217531,00_14,fatal_accidents,0
Kenya Airways,277414794,00_14,fatal_accidents,2
KLM*,1874561773,00_14,fatal_accidents,0
Korean Air,1734522605,00_14,fatal_accidents,0
LAN Airlines,1001965891,00_14,fatal_accidents,0
Lufthansa*,3426529504,00_14,fatal_accidents,0
Malaysia Airlines,1039171244,00_14,fatal_accidents,2
Pakistan International,348563137,00_14,fatal_accidents,2
Philippine Airlines,413007158,00_14,fatal_accidents,1
Qantas*,1917428984,00_14,fatal_accidents,0
Royal Air Maroc,295705339,00_14,fatal_accidents,0
SAS*,682971852,00_14,fatal_accidents,1
Saudi Arabian,859673901,00_14,fatal_accidents,0
Singapore Airlines,2376857805,00_14,fatal_accidents,1
South African,651502442,00_14,fatal_accidents,0
Southwest Airlines,3276525770,00_14,fatal_accidents,0
Sri Lankan / AirLanka,325582976,00_14,fatal_accidents,0
SWISS*,792601299,00_14,fatal_accidents,0
TACA,259373346,00_14,fatal_accidents,1
TAM,1509195646,00_14,fatal_accidents,2
TAP - Air Portugal,619130754,00_14,fatal_accidents,0
Thai Airways,1702802250,00_14,fatal_accidents,1
Turkish Airlines,1946098294,00_14,fatal_accidents,2
United / Continental*,7139291291,00_14,fatal_accidents,2
US Airways / America West*,2455687887,00_14,fatal_accidents,2
Vietnam Airlines,625084918,00_14,fatal_accidents,0
Virgin Atlantic,1005248585,00_14,fatal_accidents,0
Xiamen Airlines,430462962,00_14,fatal_accidents,0
Aer Lingus,320906734,00_14,fatalities,0
Aeroflot*,1197672318,00_14,fatalities,88
Aerolineas Argentinas,385803648,00_14,fatalities,0
Aeromexico*,596871813,00_14,fatalities,0
Air Canada,1865253802,00_14,fatalities,0
Air France,3004002661,00_14,fatalities,337
Air India*,869253552,00_14,fatalities,158
Air New Zealand*,710174817,00_14,fatalities,7
Alaska Airlines*,965346773,00_14,fatalities,88
Alitalia,698012498,00_14,fatalities,0
All Nippon Airways,1841234177,00_14,fatalities,0
American*,5228357340,00_14,fatalities,416
Austrian Airlines,358239823,00_14,fatalities,0
Avianca,396922563,00_14,fatalities,0
British Airways*,3179760952,00_14,fatalities,0
Cathay Pacific*,2582459303,00_14,fatalities,0
China Airlines,813216487,00_14,fatalities,225
Condor,417982610,00_14,fatalities,0
COPA,550491507,00_14,fatalities,0
Delta / Northwest*,6525658894,00_14,fatalities,51
Egyptair,557699891,00_14,fatalities,14
El Al,335448023,00_14,fatalities,0
Ethiopian Airlines,488560643,00_14,fatalities,92
Finnair,506464950,00_14,fatalities,0
Garuda Indonesia,613356665,00_14,fatalities,22
Gulf Air,301379762,00_14,fatalities,143
Hawaiian Airlines,493877795,00_14,fatalities,0
Iberia,1173203126,00_14,fatalities,0
Japan Airlines,1574217531,00_14,fatalities,0
Kenya Airways,277414794,00_14,fatalities,283
KLM*,1874561773,00_14,fatalities,0
Korean Air,1734522605,00_14,fatalities,0
LAN Airlines,1001965891,00_14,fatalities,0
Lufthansa*,3426529504,00_14,fatalities,0
Malaysia Airlines,1039171244,00_14,fatalities,537
Pakistan International,348563137,00_14,fatalities,46
Philippine Airlines,413007158,00_14,fatalities,1
Qantas*,1917428984,00_14,fatalities,0
Royal Air Maroc,295705339,00_14,fatalities,0
SAS*,682971852,00_14,fatalities,110
Saudi Arabian,859673901,00_14,fatalities,0
Singapore Airlines,2376857805,00_14,fatalities,83
South African,651502442,00_14,fatalities,0
Southwest Airlines,3276525770,00_14,fatalities,0
Sri Lankan / AirLanka,325582976,00_14,fatalities,0
SWISS*,792601299,00_14,fatalities,0
TACA,259373346,00_14,fatalities,3
TAM,1509195646,00_14,fatalities,188
TAP - Air Portugal,619130754,00_14,fatalities,0
Thai Airways,1702802250,00_14,fatalities,1
Turkish Airlines,1946098294,00_14,fatalities,84
United / Continental*,7139291291,00_14,fatalities,109
US Airways / America West*,2455687887,00_14,fatalities,23
Vietnam Airlines,625084918,00_14,fatalities,0
Virgin Atlantic,1005248585,00_14,fatalities,0
Xiamen Airlines,430462962,00_14,fatalities,0
