lat,lon,cluster,enrollment
40.5911,-73.9388,6,340
40.6967,-73.947,1,268
40.7291,-74.0062,6,200
40.8404,-73.8444,1,246
40.512,-74.2224,6,518
40.8137,-73.926,1,492
40.6788,-73.9765,6,285
40.781,-73.9555,6,274
40.7326,-73.9826,6,311
40.6873,-73.9833,6,639
40.5776,-73.9698,1,250
40.6542,-74.0053,1,281
40.7564,-73.7288,6,358
40.8308,-73.8871,1,624
40.7358,-73.868,6,476
40.7257,-73.9879,6,207
40.7641,-73.986,6,248
40.6826,-73.969,6,236
40.7433,-73.7873,6,494
40.8315,-73.8982,1,568
40.8504,-73.8839,1,491
40.6605,-73.8873,1,258
40.6564,-73.9516,1,390
40.7474,-73.7282,6,309
40.6839,-73.8012,6,370
40.8112,-73.9095,1,576
40.6608,-73.9887,6,406
40.8056,-73.9354,1,532
40.7085,-73.8558,6,376
40.8028,-73.9424,1,249
40.5799,-73.9561,1,418
40.7343,-73.7089,6,456
40.8061,-73.9409,1,651
40.7989,-73.9334,1,695
40.8196,-73.9573,1,1002
40.706,-73.9619,1,486
40.6773,-73.9422,1,942
40.6724,-73.9372,1,552
40.6638,-73.8933,1,775
40.6715,-73.8928,1,994
40.6368,-74.0234,1,1310
40.6212,-73.9826,5,3089
40.6274,-74.0389,5,4294
40.6136,-74.0031,5,3351
40.6348,-73.982,1,478
40.5824,-73.9681,5,2284
40.6199,-73.959,5,4017
40.5834,-73.9635,1,639
40.6049,-73.9947,2,897
40.5877,-73.9816,5,1880
40.593,-73.9863,1,329
40.5823,-73.9719,1,508
40.5938,-73.9861,1,329
40.593,-73.9863,1,554
40.5938,-73.986,1,263
40.5938,-73.986,1,273
40.5771,-73.9857,1,158
40.6491,-73.9722,1,616
40.5804,-73.935,2,1052
40.61,-73.9479,5,3088
40.6328,-73.9524,5,3872
40.5935,-73.9367,1,1140
40.8151,-73.9459,1,734
40.8766,-73.906,1,304
40.8158,-73.8853,1,957
40.6979,-73.9191,1,941
40.8288,-73.9454,1,750
40.6824,-73.9659,6,849
40.658,-73.9201,1,406
40.7198,-73.9486,6,388
40.822,-73.9108,1,457
40.815,-73.9125,1,354
40.6883,-73.9322,1,363
40.6689,-73.9047,1,338
40.6479,-73.9787,6,613
40.6776,-74.0051,6,292
40.5824,-73.9725,1,445
40.8146,-73.945,1,574
40.8271,-73.9006,1,421
40.7851,-73.9422,1,440
40.877,-73.9123,1,335
40.7239,-74.0047,6,272
40.877,-73.9123,1,355
40.6775,-73.9042,1,202
40.6829,-73.9904,6,215
40.6899,-73.9508,1,166
40.8283,-73.8968,1,255
40.8217,-73.9029,1,230
40.8104,-73.9074,1,216
40.6016,-74.0699,6,36
