status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,ext_media_type,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,total_interactions
1049012822800314370,2018-10-07T19:05:21Z,144592995,Rbloggers,"Arthur blinked, Ford shrugs, but Zaphod leapt; text as graph https://t.co/0fFiH7BZsr #rstats #DataScience",r-bloggers.com,NA,NA,NA,FALSE,FALSE,8,5,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
1049011560239288320,2018-10-07T19:00:20Z,144592995,Rbloggers,Importing Large NDJSON Files into R https://t.co/CmwyzAEvzO #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,10,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1049004015646859270,2018-10-07T18:30:21Z,144592995,Rbloggers,First release and update dates of R Packages statistics https://t.co/y3KSVYmVlH #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,6,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1048995194547445767,2018-10-07T17:55:18Z,144592995,Rbloggers,Mining Sent Email for Self-Knowledge https://t.co/754z13TzE0 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,39,18,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
1048988932560629760,2018-10-07T17:30:25Z,144592995,Rbloggers,Curate language data (1/2): organizing meta-data https://t.co/0CrcaG3ZcD #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,6,2,NA,it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1048971321189838848,2018-10-07T16:20:26Z,144592995,Rbloggers,Make a trailer for your slidedeck with av https://t.co/jPxeAO8VWW #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,5,1,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
1048964990886187008,2018-10-07T15:55:17Z,144592995,Rbloggers,Understanding the limitations of group-level inequality data by @ellis2013nz https://t.co/B9iOAn98R1 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,15,3,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1048947366601129984,2018-10-07T14:45:15Z,144592995,Rbloggers,Subsetting in the presence of NAs https://t.co/4qx0nGeqDr #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,16,7,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
1048931083419639809,2018-10-07T13:40:33Z,144592995,Rbloggers,Analyzing the Greatest Strikers in Football II: Visualizing Data https://t.co/FeaC3kJad2 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,29,11,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
1048912212302221314,2018-10-07T12:25:33Z,144592995,Rbloggers,Making Calendar with ggplot + Moon Phase Calendar for fun https://t.co/7jSTjUBBvp #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,104,32,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
1048898301687451648,2018-10-07T11:30:17Z,144592995,Rbloggers,Machine Learning as a Service https://t.co/Cn2ZqzP6WB #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,42,5,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
