dma_boundary UniqueID,Latitude,Longitude,point_order,sub_polygon_id,Media Market
201,27.7978,-99.8768,7,1,"Laredo, TX"
201,27.981,-99.9318,8,1,"Laredo, TX"
201,28.1968,-100.2122,9,1,"Laredo, TX"
201,28.2046,-99.3942,10,1,"Laredo, TX"
201,28.0304,-99.3889,11,1,"Laredo, TX"
201,28.0575,-98.8033,12,1,"Laredo, TX"
201,27.268,-98.7981,13,1,"Laredo, TX"
201,27.2694,-98.9546,14,1,"Laredo, TX"
201,26.7857,-98.9542,15,1,"Laredo, TX"
201,26.5717,-99.1694,16,1,"Laredo, TX"
200,31.2817,-92.0222,1,1,"Monroe, LA-El Dorado, AR"
200,31.6202,-92.3844,2,1,"Monroe, LA-El Dorado, AR"
200,31.7966,-92.3626,3,1,"Monroe, LA-El Dorado, AR"
200,31.7971,-92.6192,4,1,"Monroe, LA-El Dorado, AR"
200,31.7096,-92.62,5,1,"Monroe, LA-El Dorado, AR"
200,31.7112,-92.9755,6,1,"Monroe, LA-El Dorado, AR"
200,31.9459,-92.8722,7,1,"Monroe, LA-El Dorado, AR"
200,32.1479,-92.9386,8,1,"Monroe, LA-El Dorado, AR"
200,32.1469,-92.8146,9,1,"Monroe, LA-El Dorado, AR"
200,32.2353,-92.7736,10,1,"Monroe, LA-El Dorado, AR"
200,32.4535,-92.7772,11,1,"Monroe, LA-El Dorado, AR"
200,32.4541,-92.8793,12,1,"Monroe, LA-El Dorado, AR"
200,32.6,-92.8817,13,1,"Monroe, LA-El Dorado, AR"
200,32.7588,-92.8286,14,1,"Monroe, LA-El Dorado, AR"
200,32.7595,-92.7254,15,1,"Monroe, LA-El Dorado, AR"
200,33.0001,-92.7247,16,1,"Monroe, LA-El Dorado, AR"
200,33.0174,-92.9887,17,1,"Monroe, LA-El Dorado, AR"
200,33.3773,-92.9785,18,1,"Monroe, LA-El Dorado, AR"
200,33.3661,-92.5479,19,1,"Monroe, LA-El Dorado, AR"
200,33.2743,-92.4451,20,1,"Monroe, LA-El Dorado, AR"
200,33.2537,-92.2251,21,1,"Monroe, LA-El Dorado, AR"
200,33.1612,-92.1635,22,1,"Monroe, LA-El Dorado, AR"
200,33.302,-91.9773,23,1,"Monroe, LA-El Dorado, AR"
200,33.3982,-91.9902,24,1,"Monroe, LA-El Dorado, AR"
200,33.389,-91.4574,25,1,"Monroe, LA-El Dorado, AR"
200,33.0059,-91.4604,26,1,"Monroe, LA-El Dorado, AR"
200,33.0041,-91.1661,27,1,"Monroe, LA-El Dorado, AR"
200,32.8994,-91.1702,28,1,"Monroe, LA-El Dorado, AR"
200,32.9801,-91.1351,29,1,"Monroe, LA-El Dorado, AR"
200,32.9628,-91.0804,30,1,"Monroe, LA-El Dorado, AR"
200,32.7513,-91.1653,31,1,"Monroe, LA-El Dorado, AR"
200,32.7192,-91.0547,32,1,"Monroe, LA-El Dorado, AR"
200,32.6262,-91.1536,33,1,"Monroe, LA-El Dorado, AR"
200,32.6405,-91.0143,34,1,"Monroe, LA-El Dorado, AR"
200,32.5564,-91.0804,35,1,"Monroe, LA-El Dorado, AR"
200,32.4942,-90.9878,36,1,"Monroe, LA-El Dorado, AR"
200,32.5491,-91.0937,37,1,"Monroe, LA-El Dorado, AR"
200,32.4831,-91.116,38,1,"Monroe, LA-El Dorado, AR"
200,32.4395,-90.9696,39,1,"Monroe, LA-El Dorado, AR"
200,32.354,-90.9936,40,1,"Monroe, LA-El Dorado, AR"
200,32.3717,-90.8756,41,1,"Monroe, LA-El Dorado, AR"
200,32.1932,-90.9949,42,1,"Monroe, LA-El Dorado, AR"
200,32.2424,-91.039,43,1,"Monroe, LA-El Dorado, AR"
200,32.1957,-91.1649,44,1,"Monroe, LA-El Dorado, AR"
200,32.1327,-91.1628,45,1,"Monroe, LA-El Dorado, AR"
200,32.1463,-91.0041,46,1,"Monroe, LA-El Dorado, AR"
200,32.0477,-91.0816,47,1,"Monroe, LA-El Dorado, AR"
200,32.0742,-91.1574,48,1,"Monroe, LA-El Dorado, AR"
200,32.0168,-91.0759,49,1,"Monroe, LA-El Dorado, AR"
200,31.9622,-91.1875,50,1,"Monroe, LA-El Dorado, AR"
200,31.8127,-91.2556,51,1,"Monroe, LA-El Dorado, AR"
