name,pop,lat,lon,count,percent
Murrieta,111674,33.572,-117.1909,1,0.01%
Antioch,110898,37.9789,-121.7958,1,0.01%
Lowell,110558,42.6389,-71.3217,1,0.01%
Everett,109043,47.9524,-122.1672,1,0.01%
Clovis,106583,36.8283,-119.6851,1,0.01%
Lakeland,106420,28.0556,-81.9542,1,0.01%
Green Bay,105139,44.5151,-87.9895,1,0.01%
Lewisville,104659,33.0453,-96.9823,1,0.01%
Greeley,103990,40.415,-104.7697,1,0.01%
Davie,101871,26.0789,-80.287,1,0.01%
Sparks,98345,39.5727,-119.7131,1,0.01%
Compton,97550,33.893,-118.2275,1,0.01%
Flint,97386,43.0235,-83.6921,1,0.01%
Federal Way,96757,47.3091,-122.3358,1,0.01%
Mission Viejo,96396,33.6095,-117.655,1,0.01%
South Gate,95538,33.9448,-118.1926,1,0.01%
Livonia,94041,42.3972,-83.3733,1,0.01%
Sunrise,93734,26.1547,-80.2998,1,0.01%
Lynn,92697,42.4778,-70.9662,1,0.01%
Fall River,88930,41.7136,-71.1014,1,0.01%
Hawthorne,88031,33.9147,-118.3476,1,0.01%
Hemet,84281,33.7352,-116.9946,1,0.01%
Mount Pleasant,84170,32.8532,-79.8269,1,0.01%
Johns Creek,83873,34.0333,-84.2027,1,0.01%
Lake Forest,83240,33.6606,-117.6712,1,0.01%
Sioux City,82872,42.4959,-96.3901,1,0.01%
Kennewick,80454,46.1979,-119.1732,1,0.01%
New Rochelle,79557,40.9305,-73.7836,1,0.01%
Chino Hills,78822,33.9508,-117.7254,1,0.01%
Hammond,77134,41.617,-87.4908,1,0.01%
Lake Charles,76848,30.203,-93.215,1,0.01%
Saint Joseph,76472,39.7598,-94.821,1,0.01%
Layton,75655,41.0773,-111.9618,1,0.01%
Union City,75322,37.603,-122.0187,1,0.01%
Camden,74420,39.9361,-75.1072,1,0.01%
Warner Robins,74388,32.5981,-83.6528,1,0.01%
Temple,73600,31.1077,-97.3899,1,0.01%
Flower Mound,73547,33.0344,-97.1147,1,0.01%
Rock Hill,72937,34.9413,-81.026,1,0.01%
Apple Valley,72553,34.5329,-117.2102,1,0.01%
Maple Grove,69576,45.1088,-93.4626,1,0.01%
Palatine,68766,42.1181,-88.043,1,0.01%
Mount Vernon,68344,40.9136,-73.8291,1,0.01%
Yorba Linda,68235,33.889,-117.7714,1,0.01%
Delray Beach,67371,26.455,-80.0905,1,0.01%
Johnson City,66677,36.3404,-82.3803,1,0.01%
Oshkosh,66579,44.0242,-88.561,1,0.01%
Broomfield,66529,39.9541,-105.0526,1,0.01%
Laguna Niguel,65328,33.5275,-117.705,1,0.01%
Conway,65300,35.0754,-92.4696,1,0.01%
Schenectady,64913,42.8025,-73.9276,1,0.01%
West Des Moines,64560,41.5527,-93.7803,1,0.01%
Youngstown,64312,41.0994,-80.6463,1,0.01%
Haverhill,62873,42.7838,-71.0871,1,0.01%
