year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2008,23,23,Michigan,5039080,7229512
2008,33,24,Minnesota,2921147,3740142
2008,46,25,Mississippi,NA,2113347
2008,34,26,Missouri,2950504,4327572
2008,64,27,Montana,497599,741853
2008,35,28,Nebraska,811923,1274719
2008,65,29,Nevada,970019,1696831
2008,4,30,New Hampshire,719643,992226
2008,12,31,New Jersey,3910220,5776527
2008,66,32,New Mexico,833365,1362629
2008,13,33,New York,7721718,12948969
2008,47,34,North Carolina,4354571,6584302
2008,36,35,North Dakota,321133,504762
2008,24,36,Ohio,5773777,8513079
2008,53,37,Oklahoma,1474694,2619121
2008,72,38,Oregon,1845251,2700327
2008,14,39,Pennsylvania,6071357,9457942
2008,5,40,Rhode Island,475428,763608
2008,48,41,South Carolina,1927153,3311044
2008,37,42,South Dakota,387449,590720
2008,54,43,Tennessee,2618238,4563192
2008,49,44,Texas,NA,14929810
2008,67,45,Utah,971185,1700286
2008,6,46,Vermont,326822,482677
2008,40,47,Virginia,3753059,5555415
2008,73,48,Washington,3071587,4561163
2008,56,49,West Virginia,731691,1430439
2008,25,50,Wisconsin,2997086,4120694
2008,68,51,Wyoming,256035,405732
2006,0,0,United States,85769132,207643594
2006,41,1,Alabama,NA,3338467
2006,81,2,Alaska,238307,465169
2006,61,3,Arizona,1553032,3923786
2006,42,4,Arkansas,780409,2004193
2006,71,5,California,8899059,21582217
2006,62,6,Colorado,1586105,3297308
2006,1,7,Connecticut,1162391,2437559
2006,11,8,Delaware,258053,601341
2006,55,9,District of Columbia,122356,426612
2006,43,10,Florida,4884544,12187858
2006,44,11,Georgia,2143845,6115331
2006,82,12,Hawaii,348988,908925
2006,63,13,Idaho,458927,993010
2006,21,14,Illinois,3586292,8667453
2006,22,15,Indiana,1719351,4559294
2006,31,16,Iowa,1071509,2178322
2006,32,17,Kansas,864083,1948850
2006,51,18,Kentucky,1370062,3100828
2006,45,19,Louisiana,954896,3043573
2006,2,20,Maine,NA,1016287
2006,52,21,Maryland,1809237,3833349
2006,3,22,Massachusetts,2243835,4552794
2006,23,23,Michigan,3852008,7292624
2006,33,24,Minnesota,2217552,3667707
2006,46,25,Mississippi,NA,2077420
2006,34,26,Missouri,2178278,4253541
2006,64,27,Montana,411061,720447
2006,35,28,Nebraska,610499,1251027
2006,65,29,Nevada,586274,1579222
2006,4,30,New Hampshire,418550,975281
2006,12,31,New Jersey,2315643,5701033
2006,66,32,New Mexico,568597,1320285
2006,13,33,New York,4703830,12878632
2006,47,34,North Carolina,2036451,6264630
2006,36,35,North Dakota,220479,486142
2006,24,36,Ohio,4184072,8461211
2006,53,37,Oklahoma,NA,2547224
2006,72,38,Oregon,1399650,2628937
2006,14,39,Pennsylvania,NA,9283762
2006,5,40,Rhode Island,392882,754219
2006,48,41,South Carolina,1117311,3152046
2006,37,42,South Dakota,341105,580592
2006,54,43,Tennessee,1868363,4433921
2006,49,44,Texas,NA,14255313
2006,67,45,Utah,582561,1664323
2006,6,46,Vermont,263025,478247
2006,40,47,Virginia,2398589,5385522
2006,73,48,Washington,2085074,4403981
2006,56,49,West Virginia,473014,1401490
2006,25,50,Wisconsin,2183155,4064432
2006,68,51,Wyoming,196217,379127
2004,0,0,United States,123535883,203483455
2004,41,1,Alabama,1890317,3292608
2004,81,2,Alaska,314502,452124
2004,61,3,Arizona,2038069,3717055
2004,42,4,Arkansas,1070573,1969208
2004,71,5,California,12589367,21132533
2004,62,6,Colorado,2148036,3192647
2004,1,7,Connecticut,1607808,2429634
2004,11,8,Delaware,377407,584817
2004,55,9,District of Columbia,230105,419142
2004,43,10,Florida,7640319,11811921
2004,44,11,Georgia,3317336,5878186
2004,82,12,Hawaii,431662,889540
2004,63,13,Idaho,612786,946160
2004,21,14,Illinois,5350493,8576696
2004,22,15,Indiana,2512142,4504260
2004,31,16,Iowa,1521966,2156389
2004,32,17,Kansas,1213108,1928764
2004,51,18,Kentucky,1816867,3057741
2004,45,19,Louisiana,1956590,3182762
2004,2,20,Maine,751519,1003792
2004,52,21,Maryland,2395791,3797264
2004,3,22,Massachusetts,2927455,4533859
2004,23,23,Michigan,4875692,7263024
2004,33,24,Minnesota,2842912,3609185
2004,46,25,Mississippi,NA,2068766
2004,34,26,Missouri,2764635,4180960
2004,64,27,Montana,456096,699114
2004,35,28,Nebraska,792906,1236522
2004,65,29,Nevada,831563,1501437
2004,4,30,New Hampshire,683672,956422
2004,12,31,New Jersey,3638153,5663201
2004,66,32,New Mexico,775301,1282767
2004,13,33,New York,7448266,12738056
2004,47,34,North Carolina,3552449,6055771
2004,36,35,North Dakota,316049,482722
2004,24,36,Ohio,5722443,8427696
2004,53,37,Oklahoma,NA,2510823
2004,72,38,Oregon,1851671,2550887
2004,14,39,Pennsylvania,NA,9221962
2004,5,40,Rhode Island,440228,747046
2004,48,41,South Carolina,1626720,3055098
2004,37,42,South Dakota,394930,569161
2004,54,43,Tennessee,2456610,4328446
2004,49,44,Texas,NA,13796256
2004,67,45,Utah,942010,1574463
2004,6,46,Vermont,314220,470754
2004,40,47,Virginia,3223156,5277156
2004,73,48,Washington,2883499,4272914
2004,56,49,West Virginia,769645,1396545
2004,25,50,Wisconsin,3016288,4006948
2004,68,51,Wyoming,245789,370785
2002,0,0,United States,80295249,198381939
2002,41,1,Alabama,NA,3285643
2002,81,2,Alaska,232852,427337
2002,61,3,Arizona,1255615,3419481
2002,42,4,Arkansas,814176,1951568
2002,71,5,California,7738821,20733192
2002,62,6,Colorado,1424029,3056465
2002,1,7,Connecticut,1090756,2418037
2002,11,8,Delaware,NA,564938
2002,55,9,District of Columbia,NA,412062
2002,43,10,Florida,5143674,11194391
2002,44,11,Georgia,NA,5731983
2002,82,12,Hawaii,385462,872992
2002,63,13,Idaho,416533,921256
2002,21,14,Illinois,3651808,8540965
2002,22,15,Indiana,1562037,4494191
2002,31,16,Iowa,1040201,2136683
2002,32,17,Kansas,851966,1897261
2002,51,18,Kentucky,NA,3044267
2002,45,19,Louisiana,1267225,3163663
2002,2,20,Maine,NA,995056
2002,52,21,Maryland,1721626,3678346
2002,3,22,Massachusetts,2220301,4458820
2002,23,23,Michigan,3219864,7147888
2002,33,24,Minnesota,NA,3518184
2002,46,25,Mississippi,NA,2047426
2002,34,26,Missouri,NA,4116889
2002,64,27,Montana,340272,684572
2002,35,28,Nebraska,NA,1204512
2002,65,29,Nevada,512433,1391100
2002,4,30,New Hampshire,453078,930362
2002,12,31,New Jersey,2161105,5549726
2002,66,32,New Mexico,502230,1255086
2002,13,33,New York,4690968,12679865
2002,47,34,North Carolina,NA,5876705
2002,36,35,North Dakota,237224,476251
2002,24,36,Ohio,3356285,8322521
2002,53,37,Oklahoma,NA,2513143
2002,72,38,Oregon,1293756,2495739
2002,14,39,Pennsylvania,NA,9143001
2002,5,40,Rhode Island,337027,741776
2002,48,41,South Carolina,NA,2982810
2002,37,42,South Dakota,340407,556154
2002,54,43,Tennessee,NA,4151834
2002,49,44,Texas,4552059,13181016
2002,67,45,Utah,568290,1504529
2002,6,46,Vermont,232993,471403
2002,40,47,Virginia,1661915,5138270
2002,73,48,Washington,1808720,4162032
2002,56,49,West Virginia,440156,1398124
2002,25,50,Wisconsin,NA,3908088
2002,68,51,Wyoming,188028,370488
2000,0,0,United States,107390107,194331436
2000,41,1,Alabama,NA,3241682
2000,81,2,Alaska,287825,419111
2000,61,3,Arizona,1559520,3357701
2000,42,4,Arkansas,NA,1925961
2000,71,5,California,11142843,19685258
2000,62,6,Colorado,NA,3026316
2000,1,7,Connecticut,1474103,2357687
2000,11,8,Delaware,NA,554863
2000,55,9,District of Columbia,NA,416696
2000,43,10,Florida,6138765,10667193
2000,44,11,Georgia,2684951,5639668
2000,82,12,Hawaii,371113,832642
2000,63,13,Idaho,516647,877406
2000,21,14,Illinois,4932192,8432600
2000,22,15,Indiana,2246348,4424909
2000,31,16,Iowa,NA,2082950
2000,32,17,Kansas,1092716,1927950
2000,51,18,Kentucky,1568058,2955628
2000,45,19,Louisiana,1776133,3130267
2000,2,20,Maine,NA,969292
2000,52,21,Maryland,2036455,3649631
2000,3,22,Massachusetts,2736006,4517052
2000,23,23,Michigan,4279299,7070702
2000,33,24,Minnesota,2458303,3506432
2000,46,25,Mississippi,NA,2024650
2000,34,26,Missouri,NA,4052255
2000,64,27,Montana,417916,667525
2000,35,28,Nebraska,707223,1224178
2000,65,29,Nevada,613360,1346116
